order_id,product_id,category,region,supplier,channel,customer_segment,price,shipping_days,customer_rating,return_flag
O00000,P0420,Electronics,North,Supplier_6,Mobile App,Returning,193.52,3,1.2,0
O00001,P0258,Toys,West,Supplier_5,Mobile App,Returning,475.85,8,2.4,0
O00002,P0499,Books,Central,Supplier_2,Mobile App,Loyal,368.68,7,1.7,1
O00003,P0029,Toys,North,Supplier_7,Website,Returning,303.34,3,3.6,0
O00004,P0207,Home Decor,East,Supplier_2,Mobile App,Loyal,86.45,6,2.9,0
O00005,P0474,Books,East,Supplier_8,Mobile App,New,86.44,4,3.0,0
O00006,P0016,Home Decor,East,Supplier_5,Mobile App,New,38.46,5,2.7,0
O00007,P0289,Electronics,North,Supplier_10,Third-party,Loyal,434.43,5,4.8,0
O00008,P0352,Toys,Central,Supplier_9,Third-party,Loyal,304.55,7,1.9,0
O00009,P0278,Home Decor,North,Supplier_8,Mobile App,New,356.96,5,3.1,0
O00010,P0369,Clothing,North,Supplier_9,Website,New,20.09,3,3.9,0
O00011,P0358,Electronics,East,Supplier_6,Third-party,Loyal,485.26,5,3.2,1
O00012,P0091,Toys,West,Supplier_1,Mobile App,Loyal,417.9,7,4.7,0
O00013,P0495,Beauty,East,Supplier_7,Mobile App,New,114.05,5,2.5,1
O00014,P0269,Clothing,Central,Supplier_4,Website,New,99.09,5,2.9,0
O00015,P0359,Home Decor,Central,Supplier_3,Mobile App,Loyal,99.87,9,1.4,0
O00016,P0104,Books,West,Supplier_7,Mobile App,New,159.08,3,3.4,0
O00017,P0144,Toys,Central,Supplier_6,Mobile App,New,267.13,6,2.2,0
O00018,P0336,Beauty,East,Supplier_10,Website,Loyal,221.65,1,1.6,0
O00019,P0279,Beauty,West,Supplier_1,Third-party,Returning,152.7,5,3.2,0
O00020,P0493,Beauty,Central,Supplier_2,Third-party,New,309.81,8,3.1,0
O00021,P0429,Books,West,Supplier_6,Website,Returning,78.35,5,1.3,1
O00022,P0262,Toys,East,Supplier_5,Website,Returning,153.15,9,3.8,0
O00023,P0023,Beauty,East,Supplier_7,Third-party,Returning,189.52,6,3.5,0
O00024,P0377,Clothing,West,Supplier_1,Third-party,New,233.47,8,1.8,1
O00025,P0463,Home Decor,North,Supplier_10,Third-party,New,394.74,8,2.9,0
O00026,P0150,Beauty,East,Supplier_1,Website,Returning,107.84,3,3.9,0
O00027,P0211,Toys,West,Supplier_7,Third-party,Loyal,261.97,7,3.1,0
O00028,P0213,Clothing,Central,Supplier_5,Third-party,Loyal,300.28,7,2.6,0
O00029,P0063,Toys,Central,Supplier_2,Mobile App,New,32.76,6,2.3,0
O00030,P0076,Electronics,North,Supplier_10,Third-party,Loyal,307.7,7,3.4,0
O00031,P0141,Toys,West,Supplier_3,Third-party,Loyal,93.56,2,4.8,0
O00032,P0306,Beauty,South,Supplier_8,Third-party,Loyal,41.88,9,3.7,0
O00033,P0244,Home Decor,Central,Supplier_5,Website,Loyal,474.95,1,1.3,0
O00034,P0121,Electronics,North,Supplier_7,Third-party,New,483.16,1,2.8,0
O00035,P0279,Beauty,East,Supplier_9,Third-party,Returning,406.11,3,4.6,0
O00036,P0445,Electronics,East,Supplier_9,Mobile App,Returning,159.26,3,1.4,0
O00037,P0102,Home Decor,South,Supplier_9,Third-party,New,57.86,1,5.0,0
O00038,P0095,Beauty,Central,Supplier_8,Third-party,Loyal,345.27,7,4.8,0
O00039,P0177,Toys,West,Supplier_3,Mobile App,Returning,225.67,4,1.3,0
O00040,P0097,Home Decor,West,Supplier_4,Mobile App,Returning,69.8,2,4.7,0
O00041,P0027,Beauty,West,Supplier_7,Mobile App,Loyal,252.64,5,2.5,1
